Shortname,Team,Rotogrinders Name,Vegas Name
LAN,Dodgers,LA Dodgers,L.A. Dodgers
KC,Royals,Kansas City,Kansas City
DET,Tigers,Detroit,Detroit
BAL,Orioles,Baltimore,Baltimore
OAK,Athletics,Oakland,Oakland
COL,Rockies,Colorado,Colorado
TOR,Blue Jays,Toronto,Toronto
ATL,Braves,Atlanta,Atlanta
NYA,Yankees,NY Yankees,N.Y. Yankees
CHA,White Sox,Chicago White Sox,Chi. White Sox
SD,Padres,San Diego,San Diego
SEA,Mariners,Seattle,Seattle
ARI,Diamondbacks,Arizona,Arizona
BOS,Red Sox,Boston,Boston
TB,Rays,Tampa Bay,Tampa Bay
NYN,Mets,NY Mets,N.Y. Mets
CHN,Cubs,Chicago Cubs,Chi. Cubs
STL,Cardinals,St. Louis,St. Louis
CLE,Indians,Cleveland,Cleveland
MIA,Marlins,Miami,Miami
PIT,Pirates,Pittsburgh,Pittsburgh
SF,Giants,San Francisco,San Francisco
WAS,Nationals,Washington,Washington
CIN,Reds,Cincinnati,Cincinnati
LAA,Angels,LA Angels,L.A. Angels
HOU,Astros,Houston,Houston
TEX,Rangers,Texas,Texas
MIN,Twins,Minnesota,Minnesota
MIL,Brewers,Milwaukee,Milwaukee
PHI,Phillies,Philadelphia,Philadelphia
